Hz ; A Peak To Peak (v) ; B Peak To Peak (mV) ; A Cycle Time (ms) ; Phasenverschiebung (ms)
100 ; 1,485 ; 73,57    ; 10    ; 10,35 ; 
200 ; 1,512 ; 194,8    ; 5     ; 6,947 ;
300 ; 1,478 ; 132,8    ; 3,333 ; 5,097 ;
400 ; 1,495 ; 96,65    ; 2,5   ; 4,032 ;
500 ; 1,53  ; 75,94    ; 2     ; 3,274 ;
700 ; 1,488 ; 53,72    ; 1,428 ; 2,403 ;
850 ; 1,529 ; 53,76    ; 1,176 ; 1,941 ;
1000; 1,512 ; 54,94    ; 1     ; 1,641 ;
1200; 1,512 ; 50,01    ; 0,833 ; 1,451 ;
1500; 1,512 ; 42,07    ; 0,667 ; 1,179 ;
1700; 1,501 ; 50,09    ; 0,558 ; 1,043 ;
2000; 1,53  ; 53,2     ; 0,5   ; 0,889 ;
3000; 1,498 ; 41,13    ; 0,333 ; 0,637 ;
4000; 1,497 ; 37,15    ; 0,25  ; 0,512 ;
5000; 1,502 ; 32,88    ; 0,2   ; 0,440 ;
6000; 1,512 ; 29,34    ; 0,167 ; 0,362 ;
10000;1,504 ; 35,51    ; 0,1   ; 0,181 ;